,support,itemsets,length,country
512,0.09,"('approach', 'coast')",2,all
513,0.11,"('cliff', 'coast')",2,all
514,0.11,"('coast', 'forest')",2,all
515,0.1,"('show', 'coast')",2,all
516,0.16,"('coast', 'building')",2,all
517,0.13,"('coast', 'office')",2,all
518,0.11,"('hill', 'coast')",2,all
519,0.1,"('mountain', 'coast')",2,all
520,0.1,"('narrow', 'coast')",2,all
521,0.12,"('coast', 'house')",2,all
522,0.15,"('coast', 'city')",2,all
523,0.1,"('steep', 'coast')",2,all
587,0.12,"('town', 'boutique')",2,all
588,0.11,"('shop', 'boutique')",2,all
589,0.09,"('island', 'boutique')",2,all
590,0.13,"('boutique', 'building')",2,all
591,0.11,"('restaurant', 'boutique')",2,all
592,0.09,"('boutique', 'overlook')",2,all
593,0.09,"('boutique', 'ground')",2,all
594,0.09,"('resort', 'boutique')",2,all
595,0.11,"('house', 'boutique')",2,all
609,0.09,"('coast', 'fishing')",2,all
610,0.09,"('town', 'fishing')",2,all
611,0.09,"('restaurant', 'fishing')",2,all
612,0.09,"('resort', 'fishing')",2,all
613,0.09,"('fishing', 'building')",2,all
615,0.11,"('mountain', 'bear')",2,all
616,0.19,"('mountain', 'town')",2,all
617,0.15,"('mountain', 'building')",2,all
618,0.12,"('mountain', 'draw')",2,all
619,0.12,"('mountain', 'beach')",2,all
620,0.12,"('mountain', 'restaurant')",2,all
621,0.12,"('mountain', 'house')",2,all
622,0.11,"('mountain', 'hotel')",2,all
623,0.1,"('mountain', 'show')",2,all
624,0.1,"('mountain', 'shop')",2,all
625,0.1,"('mountain', 'office')",2,all
626,0.16,"('mountain', 'narrow')",2,all
627,0.16,"('mountain', 'hill')",2,all
628,0.11,"('mountain', 'forest')",2,all
629,0.17,"('resort', 'mountain')",2,all
630,0.13,"('mountain', 'sea')",2,all
631,0.13,"('mountain', 'city')",2,all
689,0.31,"('resort', 'town')",2,all
690,0.2,"('resort', 'city')",2,all
691,0.22,"('resort', 'building')",2,all
692,0.21,"('resort', 'house')",2,all
704,0.28,"('town', 'restaurant')",2,all
705,0.23,"('resort', 'restaurant')",2,all
706,0.26,"('restaurant', 'building')",2,all
707,0.19,"('house', 'restaurant')",2,all
708,0.22,"('city', 'restaurant')",2,all
735,0.24,"('town', 'beach')",2,all
736,0.23,"('resort', 'beach')",2,all
737,0.19,"('restaurant', 'beach')",2,all
738,0.17,"('city', 'beach')",2,all
739,0.13,"('forest', 'beach')",2,all
740,0.17,"('house', 'beach')",2,all
741,0.16,"('beach', 'building')",2,all
742,0.11,"('beach', 'office')",2,all
743,0.14,"('hill', 'beach')",2,all
801,0.18,"('town', 'approach')",2,all
802,0.15,"('approach', 'restaurant')",2,all
803,0.14,"('resort', 'approach')",2,all
804,0.13,"('approach', 'sea')",2,all
805,0.1,"('approach', 'beach')",2,all
806,0.19,"('approach', 'building')",2,all
807,0.14,"('bear', 'approach')",2,all
808,0.14,"('hill', 'approach')",2,all
809,0.13,"('approach', 'forest')",2,all
810,0.12,"('steep', 'approach')",2,all
811,0.12,"('approach', 'office')",2,all
812,0.11,"('approach', 'show')",2,all
813,0.11,"('approach', 'draw')",2,all
814,0.1,"('shop', 'approach')",2,all
815,0.1,"('narrow', 'approach')",2,all
816,0.13,"('approach', 'house')",2,all
817,0.1,"('mountain', 'approach')",2,all
818,0.13,"('approach', 'city')",2,all
880,0.17,"('town', 'shore')",2,all
881,0.15,"('shore', 'restaurant')",2,all
882,0.15,"('resort', 'shore')",2,all
883,0.11,"('shore', 'beach')",2,all
884,0.14,"('shore', 'building')",2,all
885,0.11,"('shore', 'draw')",2,all
886,0.11,"('hotel', 'shore')",2,all
887,0.11,"('shop', 'shore')",2,all
888,0.11,"('shore', 'forest')",2,all
889,0.1,"('show', 'shore')",2,all
890,0.1,"('bear', 'shore')",2,all
891,0.1,"('shore', 'office')",2,all
892,0.09,"('fish', 'shore')",2,all
893,0.09,"('steep', 'shore')",2,all
894,0.09,"('narrow', 'shore')",2,all
895,0.11,"('shore', 'house')",2,all
927,0.14,"('town', 'slope')",2,all
928,0.09,"('restaurant', 'slope')",2,all
929,0.13,"('slope', 'building')",2,all
930,0.1,"('house', 'slope')",2,all
931,0.09,"('draw', 'slope')",2,all
932,0.09,"('slope', 'office')",2,all
933,0.09,"('hill', 'slope')",2,all
946,0.12,"('town', 'birthplace')",2,all
947,0.09,"('resort', 'birthplace')",2,all
948,0.1,"('birthplace', 'building')",2,all
949,0.09,"('hill', 'birthplace')",2,all
952,0.1,"('restaurant', 'desert')",2,all
953,0.1,"('town', 'desert')",2,all
954,0.09,"('beach', 'desert')",2,all
955,0.09,"('resort', 'desert')",2,all
957,0.09,"('town', 'lake')",2,all
958,0.09,"('town', 'shallow')",2,all
959,0.25,"('town', 'forest')",2,all
960,0.16,"('resort', 'forest')",2,all
961,0.13,"('city', 'forest')",2,all
962,0.18,"('forest', 'building')",2,all
963,0.16,"('hill', 'forest')",2,all
964,0.16,"('forest', 'restaurant')",2,all
965,0.18,"('forest', 'house')",2,all
1013,0.17,"('town', 'land')",2,all
1014,0.13,"('land', 'forest')",2,all
1015,0.15,"('land', 'draw')",2,all
1016,0.14,"('land', 'building')",2,all
1017,0.12,"('resort', 'land')",2,all
1018,0.11,"('land', 'show')",2,all
1019,0.11,"('bear', 'land')",2,all
1020,0.11,"('land', 'office')",2,all
1021,0.11,"('hill', 'land')",2,all
1022,0.1,"('steep', 'land')",2,all
1023,0.1,"('hotel', 'land')",2,all
1024,0.1,"('shop', 'land')",2,all
1025,0.1,"('land', 'restaurant')",2,all
1026,0.09,"('fish', 'land')",2,all
1027,0.09,"('land', 'ground')",2,all
1028,0.09,"('narrow', 'land')",2,all
1029,0.13,"('land', 'house')",2,all
1030,0.11,"('land', 'city')",2,all
1031,0.09,"('mountain', 'land')",2,all
1032,0.09,"('land', 'beach')",2,all
1063,0.15,"('town', 'field')",2,all
1064,0.14,"('field', 'forest')",2,all
1065,0.12,"('field', 'draw')",2,all
1066,0.12,"('field', 'building')",2,all
1067,0.11,"('field', 'produce')",2,all
1068,0.11,"('field', 'show')",2,all
1069,0.11,"('steep', 'field')",2,all
1070,0.11,"('field', 'office')",2,all
1071,0.1,"('field', 'climb')",2,all
1072,0.1,"('hill', 'field')",2,all
1073,0.1,"('field', 'restaurant')",2,all
1074,0.09,"('architecture', 'field')",2,all
1075,0.09,"('field', 'ground')",2,all
1076,0.09,"('field', 'approach')",2,all
1077,0.09,"('bear', 'field')",2,all
1078,0.09,"('resort', 'field')",2,all
1079,0.12,"('field', 'house')",2,all
1080,0.1,"('field', 'beach')",2,all
1081,0.09,"('field', 'city')",2,all
1129,0.15,"('town', 'farm')",2,all
1130,0.09,"('forest', 'farm')",2,all
1131,0.12,"('farm', 'building')",2,all
1132,0.11,"('farm', 'office')",2,all
1133,0.1,"('farm', 'produce')",2,all
1134,0.1,"('restaurant', 'farm')",2,all
1135,0.1,"('house', 'farm')",2,all
1136,0.09,"('farm', 'park')",2,all
1137,0.09,"('farm', 'port')",2,all
1138,0.09,"('show', 'farm')",2,all
1139,0.11,"('hill', 'farm')",2,all
1140,0.09,"('resort', 'farm')",2,all
1141,0.09,"('city', 'farm')",2,all
1170,0.09,"('town', 'entertainment')",2,all
1171,0.16,"('plain', 'city')",2,all
1172,0.15,"('resort', 'plain')",2,all
1173,0.15,"('plain', 'town')",2,all
1174,0.1,"('plain', 'forest')",2,all
1175,0.09,"('bear', 'plain')",2,all
1176,0.13,"('plain', 'building')",2,all
1177,0.12,"('plain', 'park')",2,all
1178,0.12,"('plain', 'restaurant')",2,all
1179,0.11,"('plain', 'steep')",2,all
1180,0.11,"('plain', 'office')",2,all
1181,0.11,"('plain', 'hill')",2,all
1182,0.1,"('plain', 'bank')",2,all
1183,0.1,"('plain', 'climb')",2,all
1184,0.1,"('plain', 'show')",2,all
1185,0.1,"('plain', 'draw')",2,all
1186,0.09,"('plain', 'produce')",2,all
1187,0.09,"('plain', 'land')",2,all
1188,0.09,"('plain', 'hotel')",2,all
1189,0.09,"('plain', 'sea')",2,all
1190,0.09,"('narrow', 'plain')",2,all
1191,0.12,"('plain', 'beach')",2,all
1192,0.12,"('plain', 'house')",2,all
1193,0.09,"('plain', 'coast')",2,all
1336,0.13,"('town', 'sport')",2,all
1337,0.12,"('resort', 'sport')",2,all
1338,0.09,"('plain', 'sport')",2,all
1339,0.11,"('sport', 'office')",2,all
1340,0.11,"('sport', 'building')",2,all
1341,0.09,"('sport', 'approach')",2,all
1342,0.09,"('sport', 'show')",2,all
1343,0.09,"('hill', 'sport')",2,all
1344,0.09,"('sport', 'restaurant')",2,all
1357,0.1,"('resort', 'stream')",2,all
1358,0.09,"('town', 'stream')",2,all
1359,0.09,"('hill', 'stream')",2,all
1360,0.09,"('stream', 'building')",2,all
1362,0.09,"('terrain', 'forest')",2,all
1363,0.09,"('town', 'terrain')",2,all
1364,0.37,"('town', 'building')",2,all
1365,0.28,"('city', 'building')",2,all
1367,0.34,"('town', 'house')",2,all
1368,0.31,"('house', 'building')",2,all
1369,0.23,"('city', 'house')",2,all
1374,0.09,"('plateau', 'city')",2,all
1375,0.09,"('town', 'plateau')",2,all
1376,0.17,"('river', 'town')",2,all
1377,0.13,"('river', 'city')",2,all
1378,0.12,"('narrow', 'river')",2,all
1379,0.09,"('river', 'beach')",2,all
1380,0.1,"('river', 'forest')",2,all
1381,0.09,"('river', 'cliff')",2,all
1382,0.17,"('river', 'building')",2,all
1383,0.16,"('river', 'office')",2,all
1384,0.11,"('river', 'approach')",2,all
1385,0.11,"('river', 'steep')",2,all
1386,0.11,"('river', 'hill')",2,all
1387,0.11,"('river', 'restaurant')",2,all
1388,0.1,"('river', 'ground')",2,all
1389,0.1,"('river', 'show')",2,all
1390,0.1,"('bear', 'river')",2,all
1391,0.1,"('shop', 'river')",2,all
1392,0.1,"('resort', 'river')",2,all
1393,0.09,"('river', 'draw')",2,all
1394,0.1,"('river', 'house')",2,all
1395,0.09,"('river', 'coast')",2,all
1430,0.15,"('bridge', 'town')",2,all
1431,0.11,"('bridge', 'building')",2,all
1432,0.09,"('bear', 'bridge')",2,all
1433,0.09,"('bridge', 'office')",2,all
1434,0.09,"('bridge', 'restaurant')",2,all
1438,0.23,"('town', 'hotel')",2,all
1439,0.18,"('hotel', 'restaurant')",2,all
1440,0.18,"('resort', 'hotel')",2,all
1441,0.15,"('hotel', 'building')",2,all
1442,0.13,"('shop', 'hotel')",2,all
1443,0.13,"('hotel', 'office')",2,all
1444,0.13,"('hotel', 'forest')",2,all
1445,0.12,"('hill', 'hotel')",2,all
1446,0.11,"('narrow', 'hotel')",2,all
1447,0.1,"('bear', 'hotel')",2,all
1448,0.13,"('hotel', 'beach')",2,all
1449,0.13,"('hotel', 'house')",2,all
1450,0.13,"('hotel', 'city')",2,all
1525,0.13,"('narrow', 'cliff')",2,all
1526,0.12,"('cliff', 'forest')",2,all
1527,0.17,"('town', 'cliff')",2,all
1528,0.13,"('cliff', 'beach')",2,all
1529,0.17,"('resort', 'cliff')",2,all
1530,0.15,"('cliff', 'building')",2,all
1531,0.13,"('hill', 'cliff')",2,all
1532,0.11,"('cliff', 'restaurant')",2,all
1533,0.1,"('cliff', 'office')",2,all
1534,0.09,"('mountain', 'cliff')",2,all
1535,0.14,"('steep', 'cliff')",2,all
1536,0.11,"('cliff', 'draw')",2,all
1537,0.09,"('cliff', 'sea')",2,all
1538,0.14,"('cliff', 'house')",2,all
1539,0.1,"('cliff', 'city')",2,all
1584,0.09,"('waterfall', 'forest')",2,all
1585,0.09,"('town', 'waterfall')",2,all
1586,0.1,"('gorge', 'town')",2,all
1587,0.27,"('town', 'hill')",2,all
1588,0.24,"('hill', 'building')",2,all
1589,0.22,"('resort', 'hill')",2,all
1590,0.18,"('hill', 'restaurant')",2,all
1591,0.19,"('hill', 'house')",2,all
1592,0.18,"('hill', 'city')",2,all
1627,0.26,"('building', 'office')",2,all
1628,0.26,"('town', 'office')",2,all
1629,0.2,"('restaurant', 'office')",2,all
1630,0.18,"('hill', 'office')",2,all
1631,0.17,"('resort', 'office')",2,all
1632,0.15,"('forest', 'office')",2,all
1633,0.2,"('house', 'office')",2,all
1634,0.18,"('city', 'office')",2,all
1729,0.22,"('steep', 'building')",2,all
1730,0.22,"('town', 'steep')",2,all
1731,0.17,"('steep', 'forest')",2,all
1732,0.15,"('steep', 'office')",2,all
1733,0.15,"('hill', 'steep')",2,all
1734,0.15,"('resort', 'steep')",2,all
1735,0.14,"('steep', 'restaurant')",2,all
1736,0.12,"('bear', 'steep')",2,all
1737,0.11,"('steep', 'hotel')",2,all
1738,0.11,"('shop', 'steep')",2,all
1739,0.11,"('narrow', 'steep')",2,all
1740,0.16,"('steep', 'house')",2,all
1741,0.13,"('steep', 'beach')",2,all
1742,0.14,"('steep', 'city')",2,all
1824,0.22,"('town', 'draw')",2,all
1825,0.2,"('draw', 'building')",2,all
1826,0.16,"('hotel', 'draw')",2,all
1827,0.16,"('draw', 'office')",2,all
1828,0.16,"('forest', 'draw')",2,all
1829,0.16,"('draw', 'restaurant')",2,all
1830,0.15,"('shop', 'draw')",2,all
1831,0.15,"('resort', 'draw')",2,all
1832,0.14,"('bear', 'draw')",2,all
1833,0.14,"('hill', 'draw')",2,all
1834,0.13,"('steep', 'draw')",2,all
1835,0.12,"('narrow', 'draw')",2,all
1836,0.11,"('sea', 'draw')",2,all
1837,0.19,"('draw', 'house')",2,all
1838,0.13,"('city', 'draw')",2,all
1839,0.13,"('draw', 'beach')",2,all
2057,0.23,"('town', 'show')",2,all
2058,0.22,"('show', 'building')",2,all
2059,0.19,"('show', 'draw')",2,all
2060,0.19,"('show', 'office')",2,all
2061,0.18,"('show', 'restaurant')",2,all
2062,0.16,"('shop', 'show')",2,all
2063,0.15,"('bear', 'show')",2,all
2064,0.15,"('hill', 'show')",2,all
2065,0.14,"('show', 'forest')",2,all
2066,0.14,"('resort', 'show')",2,all
2067,0.13,"('hotel', 'show')",2,all
2068,0.11,"('steep', 'show')",2,all
2069,0.09,"('show', 'sea')",2,all
2070,0.09,"('narrow', 'show')",2,all
2071,0.13,"('show', 'beach')",2,all
2072,0.17,"('show', 'house')",2,all
2073,0.14,"('show', 'city')",2,all
2493,0.19,"('building', 'ground')",2,all
2494,0.18,"('town', 'ground')",2,all
2495,0.17,"('office', 'ground')",2,all
2496,0.16,"('show', 'ground')",2,all
2497,0.16,"('draw', 'ground')",2,all
2498,0.15,"('bear', 'ground')",2,all
2499,0.15,"('shop', 'ground')",2,all
2500,0.14,"('restaurant', 'ground')",2,all
2501,0.13,"('hill', 'ground')",2,all
2502,0.12,"('approach', 'ground')",2,all
2503,0.11,"('steep', 'ground')",2,all
2504,0.11,"('forest', 'ground')",2,all
2505,0.1,"('hotel', 'ground')",2,all
2506,0.1,"('resort', 'ground')",2,all
2507,0.09,"('narrow', 'ground')",2,all
2508,0.17,"('house', 'ground')",2,all
2509,0.1,"('city', 'ground')",2,all
2855,0.18,"('fish', 'restaurant')",2,all
2856,0.16,"('town', 'fish')",2,all
2857,0.15,"('shop', 'fish')",2,all
2858,0.15,"('fish', 'office')",2,all
2859,0.15,"('fish', 'building')",2,all
2860,0.14,"('fish', 'show')",2,all
2861,0.14,"('resort', 'fish')",2,all
2862,0.13,"('fish', 'draw')",2,all
2863,0.13,"('bear', 'fish')",2,all
2864,0.12,"('fish', 'ground')",2,all
2865,0.12,"('hotel', 'fish')",2,all
2866,0.12,"('hill', 'fish')",2,all
2867,0.11,"('fish', 'approach')",2,all
2868,0.1,"('fish', 'sea')",2,all
2869,0.1,"('narrow', 'fish')",2,all
2870,0.1,"('fish', 'forest')",2,all
2871,0.09,"('river', 'fish')",2,all
2872,0.1,"('fish', 'beach')",2,all
2873,0.1,"('fish', 'house')",2,all
2874,0.09,"('mountain', 'fish')",2,all
2875,0.09,"('fish', 'coast')",2,all
2876,0.12,"('fish', 'city')",2,all
3275,0.19,"('town', 'climb')",2,all
3276,0.16,"('building', 'climb')",2,all
3277,0.14,"('steep', 'climb')",2,all
3278,0.14,"('forest', 'climb')",2,all
3279,0.13,"('climb', 'ground')",2,all
3280,0.13,"('show', 'climb')",2,all
3281,0.13,"('climb', 'office')",2,all
3282,0.12,"('draw', 'climb')",2,all
3283,0.12,"('bear', 'climb')",2,all
3284,0.12,"('restaurant', 'climb')",2,all
3285,0.11,"('hotel', 'climb')",2,all
3286,0.11,"('shop', 'climb')",2,all
3287,0.11,"('narrow', 'climb')",2,all
3288,0.11,"('hill', 'climb')",2,all
3289,0.11,"('resort', 'climb')",2,all
3290,0.1,"('approach', 'climb')",2,all
3291,0.09,"('river', 'climb')",2,all
3292,0.09,"('beach', 'climb')",2,all
3293,0.14,"('house', 'climb')",2,all
3294,0.1,"('city', 'climb')",2,all
3452,0.19,"('bank', 'building')",2,all
3453,0.18,"('bank', 'office')",2,all
3454,0.17,"('town', 'bank')",2,all
3455,0.15,"('restaurant', 'bank')",2,all
3456,0.14,"('show', 'bank')",2,all
3457,0.13,"('fish', 'bank')",2,all
3458,0.13,"('bear', 'bank')",2,all
3459,0.13,"('shop', 'bank')",2,all
3460,0.13,"('hill', 'bank')",2,all
3461,0.13,"('resort', 'bank')",2,all
3462,0.12,"('bank', 'ground')",2,all
3463,0.12,"('steep', 'bank')",2,all
3464,0.11,"('draw', 'bank')",2,all
3465,0.09,"('bank', 'climb')",2,all
3466,0.09,"('river', 'bank')",2,all
3467,0.09,"('hotel', 'bank')",2,all
3468,0.09,"('sea', 'bank')",2,all
3469,0.12,"('house', 'bank')",2,all
3470,0.1,"('bank', 'beach')",2,all
3471,0.09,"('coast', 'bank')",2,all
3472,0.15,"('city', 'bank')",2,all
3930,0.19,"('town', 'produce')",2,all
3931,0.16,"('produce', 'building')",2,all
3932,0.15,"('produce', 'office')",2,all
3933,0.14,"('show', 'produce')",2,all
3934,0.14,"('forest', 'produce')",2,all
3935,0.13,"('produce', 'bank')",2,all
3936,0.13,"('draw', 'produce')",2,all
3937,0.13,"('steep', 'produce')",2,all
3938,0.13,"('bear', 'produce')",2,all
3939,0.13,"('hill', 'produce')",2,all
3940,0.11,"('land', 'produce')",2,all
3941,0.11,"('produce', 'ground')",2,all
3942,0.11,"('shop', 'produce')",2,all
3943,0.11,"('restaurant', 'produce')",2,all
3944,0.1,"('produce', 'climb')",2,all
3945,0.1,"('fish', 'produce')",2,all
3946,0.1,"('approach', 'produce')",2,all
3947,0.1,"('resort', 'produce')",2,all
3948,0.09,"('hotel', 'produce')",2,all
3949,0.13,"('house', 'produce')",2,all
3950,0.1,"('produce', 'beach')",2,all
3951,0.12,"('city', 'produce')",2,all
4212,0.18,"('park', 'building')",2,all
4213,0.17,"('town', 'park')",2,all
4214,0.16,"('park', 'office')",2,all
4215,0.16,"('hill', 'park')",2,all
4216,0.16,"('restaurant', 'park')",2,all
4217,0.14,"('bank', 'park')",2,all
4218,0.14,"('draw', 'park')",2,all
4219,0.14,"('bear', 'park')",2,all
4220,0.14,"('shop', 'park')",2,all
4221,0.14,"('resort', 'park')",2,all
4222,0.13,"('show', 'park')",2,all
4223,0.13,"('steep', 'park')",2,all
4224,0.13,"('forest', 'park')",2,all
4225,0.12,"('narrow', 'park')",2,all
4226,0.11,"('produce', 'park')",2,all
4227,0.11,"('park', 'climb')",2,all
4228,0.11,"('park', 'ground')",2,all
4229,0.11,"('hotel', 'park')",2,all
4230,0.1,"('sea', 'park')",2,all
4231,0.09,"('land', 'park')",2,all
4232,0.09,"('fish', 'park')",2,all
4233,0.09,"('approach', 'park')",2,all
4234,0.15,"('house', 'park')",2,all
4235,0.12,"('park', 'beach')",2,all
4236,0.11,"('mountain', 'park')",2,all
4237,0.09,"('park', 'port')",2,all
4238,0.09,"('coast', 'park')",2,all
4239,0.13,"('city', 'park')",2,all
4240,0.09,"('cliff', 'park')",2,all
4879,0.19,"('architecture', 'building')",2,all
4880,0.16,"('architecture', 'restaurant')",2,all
4881,0.16,"('town', 'architecture')",2,all
4882,0.13,"('architecture', 'show')",2,all
4883,0.13,"('architecture', 'draw')",2,all
4884,0.13,"('architecture', 'office')",2,all
4885,0.11,"('architecture', 'ground')",2,all
4886,0.11,"('shop', 'architecture')",2,all
4887,0.11,"('resort', 'architecture')",2,all
4888,0.1,"('architecture', 'fish')",2,all
4889,0.1,"('architecture', 'steep')",2,all
4890,0.1,"('hill', 'architecture')",2,all
4891,0.09,"('architecture', 'park')",2,all
4892,0.09,"('architecture', 'bank')",2,all
4893,0.09,"('architecture', 'shore')",2,all
4894,0.09,"('river', 'architecture')",2,all
4895,0.09,"('architecture', 'approach')",2,all
4896,0.09,"('architecture', 'hotel')",2,all
4897,0.09,"('architecture', 'sea')",2,all
4898,0.12,"('architecture', 'house')",2,all
4899,0.14,"('architecture', 'city')",2,all
5099,0.15,"('giant', 'building')",2,all
5100,0.13,"('show', 'giant')",2,all
5101,0.13,"('restaurant', 'giant')",2,all
5102,0.13,"('town', 'giant')",2,all
5103,0.12,"('shop', 'giant')",2,all
5104,0.12,"('giant', 'office')",2,all
5105,0.11,"('hill', 'giant')",2,all
5106,0.1,"('giant', 'bank')",2,all
5107,0.1,"('giant', 'ground')",2,all
5108,0.1,"('draw', 'giant')",2,all
5109,0.1,"('bear', 'giant')",2,all
5110,0.09,"('architecture', 'giant')",2,all
5111,0.09,"('produce', 'giant')",2,all
5112,0.09,"('fish', 'giant')",2,all
5113,0.09,"('house', 'giant')",2,all
5114,0.1,"('city', 'giant')",2,all
5196,0.14,"('store', 'restaurant')",2,all
5197,0.14,"('town', 'store')",2,all
5198,0.13,"('store', 'building')",2,all
5199,0.12,"('store', 'approach')",2,all
5200,0.12,"('bear', 'store')",2,all
5201,0.12,"('shop', 'store')",2,all
5202,0.12,"('store', 'office')",2,all
5203,0.11,"('store', 'show')",2,all
5204,0.11,"('store', 'draw')",2,all
5205,0.1,"('store', 'ground')",2,all
5206,0.1,"('store', 'forest')",2,all
5207,0.1,"('hill', 'store')",2,all
5208,0.09,"('store', 'giant')",2,all
5209,0.09,"('store', 'fish')",2,all
5210,0.09,"('store', 'house')",2,all
5211,0.09,"('store', 'city')",2,all
5285,0.13,"('resort', 'swim')",2,all
5286,0.12,"('restaurant', 'swim')",2,all
5287,0.12,"('swim', 'building')",2,all
5288,0.12,"('town', 'swim')",2,all
5289,0.11,"('hill', 'swim')",2,all
5290,0.1,"('island', 'swim')",2,all
5291,0.1,"('swim', 'park')",2,all
5292,0.1,"('shore', 'swim')",2,all
5293,0.1,"('swim', 'office')",2,all
5294,0.1,"('forest', 'swim')",2,all
5295,0.09,"('bank', 'swim')",2,all
5296,0.09,"('sea', 'swim')",2,all
5297,0.09,"('bear', 'swim')",2,all
5298,0.09,"('narrow', 'swim')",2,all
5299,0.11,"('swim', 'beach')",2,all
5323,0.15,"('exhibition', 'building')",2,all
5324,0.14,"('exhibition', 'town')",2,all
5325,0.13,"('exhibition', 'office')",2,all
5326,0.13,"('exhibition', 'restaurant')",2,all
5327,0.12,"('exhibition', 'shop')",2,all
5328,0.11,"('bear', 'exhibition')",2,all
5329,0.1,"('exhibition', 'fish')",2,all
5330,0.1,"('exhibition', 'show')",2,all
5331,0.1,"('exhibition', 'draw')",2,all
5332,0.09,"('exhibition', 'store')",2,all
5333,0.09,"('exhibition', 'architecture')",2,all
5334,0.09,"('exhibition', 'island')",2,all
5335,0.09,"('exhibition', 'shore')",2,all
5336,0.11,"('exhibition', 'house')",2,all
5442,0.13,"('seat', 'building')",2,all
5443,0.12,"('town', 'seat')",2,all
5444,0.11,"('seat', 'office')",2,all
5445,0.1,"('seat', 'ground')",2,all
5446,0.1,"('show', 'seat')",2,all
5447,0.1,"('draw', 'seat')",2,all
5448,0.1,"('shop', 'seat')",2,all
5449,0.09,"('architecture', 'seat')",2,all
5450,0.09,"('produce', 'seat')",2,all
5451,0.09,"('bank', 'seat')",2,all
5452,0.09,"('restaurant', 'seat')",2,all
5453,0.11,"('house', 'seat')",2,all
5474,0.13,"('town', 'animal')",2,all
5475,0.11,"('shop', 'animal')",2,all
5476,0.11,"('animal', 'restaurant')",2,all
5477,0.1,"('animal', 'fish')",2,all
5478,0.1,"('animal', 'office')",2,all
5479,0.1,"('animal', 'building')",2,all
